2301,贵州省黔西南州布依族苗族自治州助学活动,慈恩基金会有限公司,贵州省贞丰中学,贵州省,2019.11.10-2020.10.22
2300,湾区青年手牵手-志愿服务交流汇,澳门青年志愿者协会,珠海市香洲区义务工作者联合会,广东省,2019.11.17-2019.11.17
2299,林护社会工作培训及发展基金（杰出社会工作奖）,林护纪念基金有限公司,北京大学-香港理工大学中国社会工作研究中心,北京市,2020.03.01-2021.03.01
2298,清华大学丘成桐数学中心项目,清华大学（香港特别行政区）教育基金会有限公司,清华大学教育基金会,北京市,2020.01.01-2020.12.31
2297,清华大学赵敏意、航发院项目,清华大学（香港特别行政区）教育基金会有限公司,清华大学教育基金会,北京市,2020.01.01-2020.12.31
2296,清华校友-陈楚媛排球队项目,清华大学（香港特别行政区）教育基金会有限公司,清华大学教育基金会,北京市,2020.01.01-2020.12.31
2295,PESi学术基金,美国国际科技教育服务机构,中国人民大学教育基金会,北京市,2019.11.07-2020.11.06
2294,与全球风险管理专业人士协会成立中国金融风险管理专家,全球风险管理专业人士协会,中国社科院金融研究所国家金融与发展实验室,北京市,2019.11.17-2019.11.17
2293,澳门大专生走进大湾区,澳门中华学生联合总会,广州市海珠区青隽青少年发展服务中心,广东省,2019.11.16-2019.11.17
2292,司前镇2019年澳门新会司前同乡会助学活动,澳门新会司前同乡会,江门市新会区司前镇社会事务办,广东省,2019.11.20-2019.12.31
2291,督导服务协议（2019年）,香港圣公会福利协会有限公司,广州恩善社会服务中心,广东省,2019.11.08-2020.05.31
2290,江门市新会区司前人民医院捐赠救护车及医疗设备活动,澳门新会司前同乡会,江门市新会区司前人民医院,广东省,2019.11.20-2019.12.31
2289,江门市新会区司前人民医院捐赠医疗设备活动,钜星国际慈善会,江门市新会区司前人民医院,广东省,2019.11.20-2019.12.31
2288,捐赠复旦大学电子工程系中辉行黄卫中奖学金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.28-2020.08.27
2287,捐赠复旦大学霍焱学生海外交流基金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.27-2020.08.26
2286,捐赠颜福庆医学教育发展基金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会 ,上海市,2019.08.28-2020.08.27
2285,捐赠复旦大学管理学院大健康创业与人才发展中心,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会 ,上海市,2019.08.28-2020.08.27
2284,捐赠复旦大学管理学院Global MiM奖学金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.28-2020.08.27
2283,捐赠复旦大学笃志助学金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.28-2020.08.27
2282,捐赠复旦大学赴美国哥伦比亚大学访学交流基金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.28-2020.08.27
2281,捐赠复旦大学相辉堂保护修缮项目,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.27-2020.08.26
2280,捐赠复旦大学汪氏文科基础学科奖学金,复旦大学教育发展基金会（海外）, 上海复旦大学教育发展基金会,上海市,2019.08.27-2020.08.26
2279,捐赠复旦大学董氏东方奖学金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会 ,上海市,2019.08.28-2020.08.27
2278,捐赠复旦大学管理教育发展基金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.27-2020.08.26
2277,捐赠复旦数学系世坤奖学金,复旦大学教育发展基金会（海外）,上海复旦大学教育发展基金会,上海市,2019.08.28-2020.08.27
2276,复旦大学华藏奖学金项目,香港佛陀教育协会有限公司,上海复旦大学教育发展基金会,上海市,2019.11.22-2020.08.28
2275,绿色水产养殖海南罗非鱼示范项目,荷兰IDH（暨可持续贸易行动）基金会,海南智渔可持续科技发展研究中心,海南省,2019.11.10-2020.11.09
2274,包氏奖学金,香港浙江大学教育基金会有限公司,浙江大学教育基金会,浙江省,2019.10.15-2020.09.01
2273,湾区青年手牵手‧同心庆新中国成立七十周年、澳门回归,澳门青年志愿者协会,珠海市青年志愿者协会,广东省,2019.11.17-2019.11.17
